Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Reimbursement of expenses from (creating receivable
position)",-,-,-,5,7
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Expenses incurred for the company to(creating payable
position)",-,0,0,1,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Redemption of investment in 0.1% Optional Convertible
Debentures",-,-,-,92,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Sundry balance written off,-,-,53,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Reimbursement of common expenses from (creating
receivable position)",2,4,5,9,5
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Reimbursement of expenses from (creating receivable
position)",44,26,52,52,27
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Expenses incurred for the company to(creating payable
position)",1,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),"Reimbursement of expenses from (creating receivable
position)",0,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Sale of investment in equity instruments of subsidiary,-,-,-,138,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Expenses incurred for the company to(creating payable
position)",-,-,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Impairment provision for investment in equity
instruments in subsidiary",184,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Provision for doubtful receivables and loans,-,68,101,98,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Reimbursement of common expenses from (creating
receivable position)",-,2,0,10,6
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Revenue from operation,1,7,2,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Passthrough revenue,4,2,6,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Cost of delivery,-,-,1,13,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Deemed Investment in subsidiary company,-,3,174,19,36
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Intercorporate loan/ advance given (asset),29,49,49,120,116
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Interest Income,7,1,2,1,4
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Reimbursement of expenses from (creating receivable
position)",3,3,7,7,14
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Expenses incurred for the company to(creating payable
position)",19,1,1,5,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Purchase of business under business transfer
arrangement",-,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Sundry balance written off,-,-,33,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Reversal of provision for doubtful receivables and loans,-,-,200,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Provision for impairment on deemed investment,-,-,169,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,Intercorporate loan/ advance given (asset),-,-,-,-,11
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,"Intercorporate loans/advances with interest recovered
from subsidiaries (asset)",-,-,-,-,11
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,Interest Income,-,-,-,-,0
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,"Reimbursement of expenses from (creating receivable
position)",-,-,-,-,0
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,"Expenses incurred for the company to(creating payable
position)",-,-,-,1,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,"Purchase of business under business transfer
arrangement",-,-,-,-,78
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics LLC,Deemed Investment in subsidiary company,-,-,-,-,19
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Provision for impairment of equity investment,-,-,-,5,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Provision for doubtful receivables and loans,-,-,-,1,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Intercorporate loan/ advance given (asset),-,-,-,1,1
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,"Intercorporate loans/advances with interest recovered
from subsidiaries (asset)",-,-,-,-,1
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Interest Income,-,0,0,0,0
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,"Expenses incurred for the company to(creating payable
position)",-,-,-,0,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Provision for impairment of deemed investment,-,-,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Investment in equity shares of subsidiary company,-,-,-,-,5
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Reversal of provision for doubtful receivables and loans,-,-,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Deemed Investment in subsidiary company,-,-,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Analytics Vidhya Educon Private Limited,Revenue from operation,5,3,6,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Analytics Vidhya Educon Private Limited,Staff training expenses,40,6,20,15,9
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Analytics Vidhya Educon Private Limited,"Expenses incurred for the company to(creating payable
position)",0,-,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics FZ LLC,"Reimbursement of expenses from (creating receivable
position)",0,0,0,0,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal AI Ltd. Abu Dhabi,"Reimbursement of expenses from (creating receivable
position)",0,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal AI Ltd. Abu Dhabi,"Expenses incurred for the company to(creating payable
position)",-,-,1,-,-
Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
"Fractal Analytics Inc, USA","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Expenses from guarantee fees,12,14,34,29,35
"Fractal Analytics Inc, USA","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cost of delivery,"6,304","4,870","10,561","8,432","7,099"
"Fractal Analytics Inc, USA","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,51,150,274,265,253
"Fractal Analytics Inc, USA","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",73,3,37,-,-
"Fractal Analytics Inc, USA","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",28,29,46,52,-
"Fractal Analytics Inc, USA","Fractal Private Limited, Singapore",Revenue from operation,32,57,100,66,35
"Fractal Analytics Inc, USA",Cuddle Artificial Intelligence Private Limited,Provision for doubtful receivables and loans,-,-,-,-,5
"Fractal Analytics Inc, USA",Cuddle Artificial Intelligence Private Limited,Cost of delivery,-,-,-,7,59
"Fractal Analytics Inc, USA",Cuddle Artificial Intelligence Private Limited,Receivable balances of subsidairies written off,-,-,-,35,-
"Fractal Analytics Inc, USA","Cuddle.ai Inc, USA","Provision for impairment of trade, unbilled and other
receivables",-,-,-,-,396
"Fractal Analytics Inc, USA","Cuddle.ai Inc, USA",Intercorporate loan/ advance given (asset),-,-,-,36,142
"Fractal Analytics Inc, USA","Cuddle.ai Inc, USA","Reimbursement of expenses from (creating receivable
position)",-,-,-,-,11
"Fractal Analytics Inc, USA","Cuddle.ai Inc, USA",Write off intercorporate loans taken,-,-,-,179,-
"Fractal Analytics Inc, USA","Cuddle.ai Inc, USA",Receivable balances of subsidairies written off,-,-,-,265,-
"Fractal Analytics Inc, USA",Qure Technologies Inc.,"Reimbursement of expenses from (creating receivable
position)",-,-,-,8,-
"Fractal Analytics Inc, USA",Final Mile Consulting LLC,Revenue from operation,-,13,10,-,-
"Fractal Analytics Inc, USA",Final Mile Consulting LLC,"Reimbursement of expenses from (creating receivable
position)",-,-,-,-,86
"Fractal Analytics Inc, USA",Final Mile Consulting LLC,Investment in common stock and preferred stock,-,-,-,9,-
"Fractal Analytics Inc, USA","Fractal Analytics UK Limited, UK",Cost of delivery,279,289,388,474,870
"Fractal Analytics Inc, USA","Fractal Analytics UK Limited, UK",Dividend income,-,-,-,-,162
"Fractal Analytics Inc, USA","Fractal Analytics UK Limited, UK","Expenses incurred for the company to(creating payable
position)",5,3,6,-,-
"Fractal Analytics Inc, USA","Fractal Analytics UK Limited, UK","Reimbursement of expenses from (creating receivable
position)",-,-,0,-,-
"Fractal Analytics Inc, USA","4i Consulting, Inc",Cost of delivery,-,-,-,-,308
"Fractal Analytics Inc, USA",Fractal Analytics (Canada) Inc,Cost of delivery,88,200,345,526,259
"Fractal Analytics Inc, USA",Fractal Analytics (Canada) Inc,"Expenses incurred for the company to(creating payable
position)",-,4,4,-,-
"Fractal Analytics Inc, USA",Fractal Analytics (Canada) Inc,"Reimbursement of expenses from (creating receivable
position)",5,-,0,-,-
"Fractal Analytics Inc, USA",Fractal Analytics (Switzerland) GmbH,Cost of delivery,8,16,29,22,3
"Fractal Analytics Inc, USA",Fractal Analytics Germany GmbH,Cost of delivery,11,1,4,17,30
"Fractal Analytics Inc, USA",Fractal Analytics Netherlands B.V,Cost of delivery,69,49,92,71,51
"Fractal Analytics Inc, USA",Limited Liability Company Symphony (Ukraine),Cost of delivery,28,21,42,75,-
"Fractal Analytics Inc, USA",Fractal Analytics Australia Pty Limited,Cost of delivery,-,43,14,385,305
"Fractal Analytics Inc, USA",Fractal Analytics Australia Pty Limited,"Expenses incurred for the company to(creating payable
position)",-,-,-,-,2
"Fractal Analytics Inc, USA",Fractal Analytics Malaysia SDN BHD,Cost of delivery,-,-,-,0,2
"Fractal Analytics Inc, USA",Fractal Analytics (Shanghai) Ltd,Cost of delivery,2,6,5,29,15
"Fractal Analytics Inc, USA",Fractal Analytics Sweden AB,Cost of delivery,-,-,-,2,1
"Fractal Analytics Inc, USA",Eugenie Technologies Private Limited,Provision for doubtful receivables and loans,-,-,-,-,2
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Provision for doubtful receivables and loans,-,17,-,176,174
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Revenue transfer,-,-,1,-,-
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Intercorporate loan/ advance given (asset),-,17,17,153,-
"Fractal Analytics Inc, USA",Eugenie.ai Inc,"Reimbursement of expenses from (creating receivable
position)",-,-,-,23,42
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Receivable balances of subsidairies written off,-,-,380,-,-
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Provision for impairment of deemed investment,-,-,282,-,-
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),Passthrough revenue,0,1,1,46,1
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),Revenue transfer,11,13,23,2,16
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),Intercorporate loan/ advance given (asset)*,-,-,-,66,16
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),"Intercorporate loans/advances with interest recovered
from subsidiaries (asset)*",-,-,-,66,16
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),Interest Income,-,-,-,1,0
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),"Expenses incurred for the company to(creating payable
position)",-,12,17,-,-
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),"Reimbursement of expenses from (creating receivable
position)",41,27,61,78,73
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),Investment in common stock and preferred stock,86,209,209,472,-
"Fractal Analytics Inc, USA","Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)",Cost of delivery,-,-,-,0,-
"Fractal Analytics Inc, USA",Senseforth AI Research Private Limited,Cost of delivery,-,-,-,-,4
"Fractal Analytics Inc, USA",Senseforth AI Research Private Limited,Cost of delivery -- Reversal (Income),-,-,-,1,-
"Fractal Analytics Inc, USA",Senseforth AI Research Private Limited,"Reimbursement of expenses from (creating receivable
position)",4,8,14,-,-
"Fractal Analytics Inc, USA","Senseforth, Inc",Provision for doubtful receivables and loans,-,-,-,-,191
"Fractal Analytics Inc, USA","Senseforth, Inc",Cost of delivery,-,2,8,27,-
"Fractal Analytics Inc, USA","Senseforth, Inc","Reimbursement of expenses from (creating receivable
position)",-,-,-,22,12
"Fractal Analytics Inc, USA",Neal Analytics LLC,Cost of delivery,-,-,-,-,179
"Fractal Analytics Inc, USA",Neal Analytics LLC,"Intercorporate loans/advances with interest recovered
from subsidiaries (asset)",-,-,-,-,80
"Fractal Analytics Inc, USA",Neal Analytics LLC,Interest Income,-,-,-,-,2
"Fractal Analytics Inc, USA",Neal Analytics LLC,"Expenses incurred for the company to(creating payable
position)",-,-,-,-,6
"Fractal Analytics Inc, USA",Neal Analytics LLC,Investment in equity shares of subsidiary company,-,-,-,-,241
"Fractal Analytics Inc, USA","Fractal Frontier, Inc",Provision for doubtful receivables and loans,-,1,-,2,-
"Fractal Analytics Inc, USA","Fractal Frontier, Inc",Intercorporate loan/ advance given (asset),-,1,1,0,0
"Fractal Analytics Inc, USA","Fractal Frontier, Inc",Receivable balances of subsidairies written off,-,-,3,-,-
"Fractal Analytics Inc, USA","Fractal Frontier, Inc",Provision for impairment of deemed investment,-,-,3,-,-
"Fractal Analytics Inc, USA",Fractal Analytics FZ LLC,Cost of delivery,-,28,82,53,6
"Fractal Analytics Inc, USA",Fractal Analytics FZ LLC,Intercorporate loan/ advance given (asset),-,-,-,-,2
"Fractal Analytics Inc, USA",Fractal Analytics FZ LLC,"Intercorporate loans/advances with interest recovered
from subsidiaries (asset)",-,-,-,-,2
"Fractal Analytics Inc, USA",Fractal Analytics FZ LLC,"Reimbursement of expenses from (creating receivable
position)",-,-,-,1,-
"Fractal Analytics Inc, USA",Fractal AI Ltd. Abu Dhabi,Cost of delivery,4,5,12,-,-
"Fractal Private Limited, Singapore","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,0,0,2,-,-
"Fractal Private Limited, Singapore","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,-,1,-,-
"Fractal Private Limited, Singapore","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",0,0,0,-,-
Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
"Fractal Analytics UK Limited, UK","Fractal Analytics Inc, USA",Dividend expense,-,-,-,-,159
"Fractal Analytics UK Limited, UK","Fractal Analytics Inc, USA","Reimbursement of expenses from (creating receivable
position)",5,3,6,-,-
"Fractal Analytics UK Limited, UK","Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",-,-,0,-,-
"Fractal Analytics UK Limited, UK",Senseforth AI Research Private Limited,Cost of delivery,-,-,-,4,-
"4i Consulting, Inc","Fractal Analytics Inc, USA",Revenue from operation,-,-,-,-,308
"4i Consulting, Inc",Limited Liability Company Symphony (Ukraine),Cost of delivery,-,-,-,-,91
"4i Consulting, Inc",Asper.AI Inc (Formerly known as Samya.AI Inc),"Reimbursement of expenses from (creating receivable
position)",-,-,-,-,1
"4i Consulting, Inc","Senseforth, Inc","Reimbursement of expenses from (creating receivable
position)",-,-,-,-,1
Fractal Analytics (Canada) Inc,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,1,1,1,-,-
Fractal Analytics (Canada) Inc,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",0,0,0,0,-
Fractal Analytics (Canada) Inc,"Fractal Analytics Inc, USA",Revenue from operation,87,199,346,526,259
Fractal Analytics (Canada) Inc,"Fractal Analytics Inc, USA","Reimbursement of expenses from (creating receivable
position)",-,4,4,-,-
Fractal Analytics (Canada) Inc,"Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",5,-,0,-,-
Fractal Analytics (Canada) Inc,Neal Analytics LLC,Revenue from operation,-,-,-,-,36
