Particulars,"For the six
months period
ended",For the year ended,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
Apoint Infotech Private Limited,"-
0.65","-
0.72","10.90
6.22","7.43
-"
Manpower support services,,,,
Advance given,,,,
"Vetted Consultant Private Limited
Manpower support services
Advance given
Expenses paid#","1.29
0.23
-","-
0.31
0.00","-
0.56
-","-
-
-"
"Woke India Foundation (Section 8 company)
Advance given
Reimbursement of expenses paid*
Donation
Payment for CSR activity","0.89
-
-
-","5.12
2.03
1.00
1.62","2.20
-
-
1.68","2.37
-
-
1.05"
"Randeep Hundal
Salary
Loan from director
Repayment of loan**
Reimbursement of expenses paid*
Advance for travel
Purchase of land
Sale of shares of Vetted Consultant Private Limited to director
Purchase of shares of Aerodrone Robotics Private Limited","3.23
-
1.47
0.62
-
-
-
-",6.45,"6.45
9.03
7.14
0.53
-
6.33
0.05
0.03","6.00
23.70
5.85
3.95
0.17
-
-
-"
,,-,,
,,5.04,,
,,"0.30
-
-
-
-",,
"Uday Pal Singh
Salary
Loan from director
Repayment of loan
Reimbursement of expenses paid*
Purchase of land
Sale of shares of Vetted Consultant Private Limited to director
Purchase of shares of Aerodrone Robotics Private Limited","3.09
-
0.07
0.03
-
-
-",6.17,"6.31
6.33
6.57
-
6.33
0.05
0.03","6.00
12.66
5.65
-
-
-
-"
,,-,,
,,6.40,,
,,-,,
,,"-
-
-",,
"Gurpal Singh
Salary
Reimbursement of expenses paid*","0.39
-","1.05
0.04","1.14
0.07","1.03
0.17"
"Reema Mann
Salary",0.67,1.34,1.34,-
"Prabhjot Kahlon Vasdev
Salary",0.81,1.62,1.48,-
"Bijender
Salary
Reimbursement of expenses paid*",,,,
,1.34,2.60,0.11,-
,0.69,1.17,0.06,-
"Jyoti Sachdeva
Salary
Reimbursement of expenses paid*",,,,
,1.11,1.16,0.04,-
,0.00,0.08,0.01,-
