Name,Designation,"Date (if joined/ceased during the financial
year)"
Shri Samiran Dutta,Chairman cum Managing Director,Cessation w.e.f. 01.09.2025
Sri Debashish Nanda,Non-Executive Director; Government Nominee; Director (BD) CIL,Tenure Ended on 01.06.2025
Sri Rakesh Kumar Sahay,Director (Finance),Cessation w.e.f. 01.09.2025
Shri Sanjay Kumar Singh,Director (Technical/OP),
Shri Lakhpat Singh Choudhary,Non-Executive Director (MoC),"Appointment w.e.f. 08.04.2025 Cessation
w.e.f. 01.05.2025"
Sri Murlikrishna Ramaiah,Director (Personnel),
Shri Sanoj Kumar Jha,Non-Executive Director (MoC),Appointment w.e.f. 01.05.2025
Dr. Arun Kumar Oraon,Independent Director,Appointment w.e.f. 30.04.2025
Shri Sanjay Kumar,Independent Director,Appointment w.e.f. 14.05.2025
Smt. Vismita Tej,"Non-Executive Director (Project Advisor, MoC, Govt. Nominee)",Tenure Ended on 08.04.2025
Shri Manoj Kumar Agarwal,Chairman cum Managing Director & Addl. Charge of D(F),Joined on 01.09.2025 as (CMD & D(F))
Shri Manoj Kumar Agarwal,Director (Technical/P&P),Cessation on 01.09.2025
Shri Niladri Roy,Director (Technical/P&P)(Addl. Charge),Joined on 05.09.2025
Shri B.K. Parui,Company Secretary,
