Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA",Income from unwinding of interest and guarantee fees,13,15,28,31,39
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA",Revenue from operation,"6,367","4,870","10,551","8,463","7,099"
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA",Deemed Investment in subsidiary company,51,150,274,265,253
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA","Reimbursement of expenses from (creating receivable
position)",28,29,46,52,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",73,3,37,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics Inc, USA",Investments in equity instruments in subsidiary (assets),-,-,859,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Private Limited, Singapore",Deemed Investment in subsidiary company,0,0,2,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Private Limited, Singapore","Reimbursement of expenses from (creating receivable
position)",0,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Private Limited, Singapore","Expenses incurred for the company to(creating payable
position)",-,-,1,-,-
"Fractal Analytics Inc, USA","4i Consulting, Inc","Expenses incurred for the company to(creating payable
position)",-,-,-,-,2
Fractal Analytics Australia Pty Limited,"Fractal Analytics Inc, USA","Reimbursement of expenses from (creating receivable
position)",-,-,-,-,2
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),Cost of delivery,-,-,-,-,16
"4i Consulting, Inc","Fractal Analytics Inc, USA","Reimbursement of expenses from (creating receivable
position)",-,-,-,-,2
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,Provision for doubtful receivables and loans,-,-,-,-,365
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,"Reimbursement of common expenses from (creating
receivable position)",-,-,-,-,8
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,Collection on behalf by group company,-,2,2,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,Cost of delivery,-,-,-,-,11
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,Intercorporate loan/ advance given (asset),-,-,-,-,155
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,"Intercorporate loans/advances with interest recovered
from subsidiaries (asset)",-,-,-,-,87
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,Interest Income,-,-,-,-,17
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,"Reimbursement of expenses from (creating receivable
position)",-,-,-,-,10
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,"Expenses incurred for the company to(creating payable
position)",-,-,-,2,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cuddle Artificial Intelligence Private Limited,"Purchase of business under business transfer
arrangement",-,-,-,-,84
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting Private Limited,"Reimbursement of common expenses from (creating
receivable position)",-,-,-,-,4
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting Private Limited,Collection on behalf by group company,-,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting Private Limited,Collection for the group company,-,2,2,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting Private Limited,Revenue from operation,-,-,-,2,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting Private Limited,"Reimbursement of expenses from (creating receivable
position)",-,0,0,-,4
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting Private Limited,"Expenses incurred for the company to(creating payable
position)",-,-,-,-,19
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting Private Limited,"Purchase of business under business transfer
arrangement",-,-,-,-,31
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting LLC,Revenue from operation,-,-,-,36,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics UK Limited, UK",Deemed Investment in subsidiary company,12,33,63,109,216
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics UK Limited, UK","Reimbursement of expenses from (creating receivable
position)",1,1,1,1,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics UK Limited, UK","Expenses incurred for the company to(creating payable
position)",8,5,20,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics (Canada) Inc,Deemed Investment in subsidiary company,1,1,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics (Canada) Inc,"Reimbursement of expenses from (creating receivable
position)",0,0,0,0,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Netherlands B.V,Deemed Investment in subsidiary company,5,-,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Netherlands B.V,"Reimbursement of expenses from (creating receivable
position)",0,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Netherlands B.V,"Expenses incurred for the company to(creating payable
position)",-,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Australia Pty Limited,Deemed Investment in subsidiary company,2,-,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Australia Pty Limited,"Reimbursement of expenses from (creating receivable
position)",-,0,0,0,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Australia Pty Limited,"Expenses incurred for the company to(creating payable
position)",-,1,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Malaysia SDN BHD,"Expenses incurred for the company to(creating payable
position)",-,-,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,Provision for doubtful receivables and loans,-,-,-,2,24
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,Reversal of provision for doubtful receivables and loans,-,5,25,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,"Reimbursement of common expenses from (creating
receivable position)",-,-,-,0,3
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,Intercorporate loan/ advance given (asset),-,-,-,3,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,"Intercorporate loans/advances with interest recovered
from subsidiaries (asset)",-,-,-,3,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,"Reimbursement of expenses from (creating receivable
position)",-,-,-,1,3
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,Sundry balance written off,-,-,20,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Reversal of impairment provision for investment in
0.1% compulsory convertible debentures",-,-,-,92,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Provision for doubtful receivables and loans,-,1,-,7,56
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Reversal of provision for doubtful receivables and loans,-,0,53,10,-
